ID,DESCRITION,CREATION_DATE,PRIMARY1,PRIMARY2,FLAG1,FLAG2 ,BUSINESS_DATE,SUMVALUE1
1,Description1,2021-01-01,Primary11,Primary21,1,1,2021-05-25,1.1
2,Description2,1982-10-01,Primary12,Primary22,0,1,2021-05-25,1.21
3,Description3,2001-03-15,Primary13,Primary23,0,0,2021-05-25,5.5
4,Description4,1995-06-14,Primary14,Primary24,1,1,2021-05-25,5
5,Description5,2021-01-01,Primary15,Primary25,1,0,2021-05-25,9
6,Description6,1982-10-01,Primary16,Primary26,0,0,2021-05-25,21
7,Description7,2001-03-15,Primary17,Primary27,1,1,2021-05-25,8.5
8,Description8,1995-06-14,Primary18,Primary28,1,1,2021-05-25,4
9,Description9,2021-01-01,Primary19,Primary29,0,0,2021-05-25,17
10,Description10,1982-10-01,Primary110,Primary210,0,1,2021-05-25,9
11,Description11,2001-03-15,Primary111,Primary211,1,0,2021-05-25,13
12,Description12,1995-06-14,Primary112,Primary212,1,0,2021-05-25,6
13,Description13,2021-01-01,Primary113,Primary213,0,1,2021-05-25,18.25
14,Description14,1982-10-01,Primary114,Primary214,1,1,2021-05-25,12
15,Description15,2001-03-15,Primary115,Primary215,1,0,2021-05-25,4
16,Description16,1995-06-14,Primary116,Primary216,0,1,2021-05-25,7
17,Description17,2021-01-01,Primary117,Primary217,0,0,2021-05-25,5
18,Description18,1982-10-01,Primary118,Primary218,1,0,2021-05-25,0
19,Description19,2001-03-15,Primary119,Primary219,1,1,2021-05-25,12
20,Description20,1995-06-14,Primary120,Primary220,0,1,2021-05-25,11
21,Description21,2021-01-01,Primary121,Primary221,1,0,2021-05-25,9
22,Description22,1982-10-01,Primary122,Primary222,1,1,2021-05-25,12
23,Description23,2001-03-15,Primary123,Primary223,0,0,2021-05-25,12
24,Description24,1995-06-14,Primary124,Primary224,0,0,2021-05-25,17
25,Description25,2021-01-01,Primary125,Primary225,1,1,2021-05-25,23
26,Description26,1982-10-01,Primary126,Primary226,1,1,2021-05-25,18
27,Description27,2001-03-15,Primary127,Primary227,0,0,2021-05-25,13
28,Description28,1995-06-14,Primary128,Primary228,1,1,2021-05-25,5
29,Description29,2021-01-01,Primary129,Primary229,1,0,2021-05-25,5
30,Description30,1982-10-01,Primary130,Primary230,0,0,2021-05-25,2
31,Description31,2001-03-15,Primary131,Primary231,0,1,2021-05-25,14
32,Description32,1995-06-14,Primary132,Primary232,1,1,2021-05-25,10
33,Description33,2021-01-01,Primary133,Primary233,1,0,2021-05-25,3
34,Description34,1982-10-01,Primary134,Primary234,0,1,2021-05-25,0
35,Description35,2001-03-15,Primary135,Primary235,1,0,2021-05-25,12
36,Description36,1995-06-14,Primary136,Primary236,1,0,2021-05-25,3
37,Description37,2021-01-01,Primary137,Primary237,0,1,2021-05-25,17
38,Description38,1982-10-01,Primary138,Primary238,0,1,2021-05-25,8
39,Description39,2001-03-15,Primary139,Primary239,1,0,2021-05-25,17
40,Description40,1995-06-14,Primary140,Primary240,1,1,2021-05-25,12
41,Description41,2021-01-01,Primary141,Primary241,0,0,2021-05-25,10
42,Description42,1982-10-01,Primary142,Primary242,1,0,2021-05-25,12
43,Description43,2001-03-15,Primary143,Primary243,1,1,2021-05-25,8
44,Description44,1995-06-14,Primary144,Primary244,0,1,2021-05-25,6
45,Description45,2021-01-01,Primary145,Primary245,0,0,2021-05-25,10
46,Description46,1982-10-01,Primary146,Primary246,1,1,2021-05-25,9
47,Description47,2001-03-15,Primary147,Primary247,1,0,2021-05-25,54
48,Description48,1995-06-14,Primary148,Primary248,0,0,2021-05-25,5
49,Description49,2021-01-01,Primary149,Primary249,1,1,2021-05-25,1
50,Description50,1982-10-01,Primary150,Primary250,1,1,2021-05-25,8
51,Description51,2001-03-15,Primary151,Primary251,0,0,2021-05-25,5
52,Description52,1995-06-14,Primary152,Primary252,0,1,2021-05-25,14
53,Description53,2021-01-01,Primary153,Primary253,1,0,2021-05-25,13
54,Description54,1982-10-01,Primary154,Primary254,1,0,2021-05-25,13
55,Description55,2001-03-15,Primary155,Primary255,0,1,2021-05-25,5
56,Description56,1995-06-14,Primary156,Primary256,1,1,2021-05-25,12
57,Description57,2021-01-01,Primary157,Primary257,1,0,2021-05-25,4
58,Description58,1982-10-01,Primary158,Primary258,0,1,2021-05-25,18
59,Description59,2001-03-15,Primary159,Primary259,0,0,2021-05-25,16
60,Description60,1995-06-14,Primary160,Primary260,1,0,2021-05-25,12
61,Description61,2021-01-01,Primary161,Primary261,1,1,2021-05-25,3
62,Description62,1982-10-01,Primary162,Primary262,0,1,2021-05-25,17
63,Description63,2001-03-15,Primary163,Primary263,1,0,2021-05-25,2
64,Description64,1995-06-14,Primary164,Primary264,1,1,2021-05-25,15
65,Description65,2021-01-01,Primary165,Primary265,0,0,2021-05-25,3
66,Description66,1982-10-01,Primary166,Primary266,0,0,2021-05-25,3
67,Description67,2001-03-15,Primary167,Primary267,1,1,2021-05-25,1
68,Description68,1995-06-14,Primary168,Primary268,1,1,2021-05-25,12
69,Description69,2021-01-01,Primary169,Primary269,0,0,2021-05-25,18
70,Description70,1982-10-01,Primary170,Primary270,1,1,2021-05-25,6
71,Description71,2001-03-15,Primary171,Primary271,1,0,2021-05-25,6
72,Description72,1995-06-14,Primary172,Primary272,0,0,2021-05-25,3
73,Description73,2021-01-01,Primary173,Primary273,0,1,2021-05-25,20
74,Description74,1982-10-01,Primary174,Primary274,1,1,2021-05-25,17
75,Description75,2001-03-15,Primary175,Primary275,1,0,2021-05-25,8
76,Description76,1995-06-14,Primary176,Primary276,0,1,2021-05-25,16
77,Description77,2021-01-01,Primary177,Primary277,1,0,2021-05-25,14
78,Description78,1982-10-01,Primary178,Primary278,1,0,2021-05-25,2
79,Description79,2001-03-15,Primary179,Primary279,0,1,2021-05-25,6
80,Description80,1995-06-14,Primary180,Primary280,0,1,2021-05-25,6
81,Description81,2021-01-01,Primary181,Primary281,1,0,2021-05-25,3
82,Description82,1982-10-01,Primary182,Primary282,1,1,2021-05-25,18
83,Description83,2001-03-15,Primary183,Primary283,0,0,2021-05-25,12
84,Description84,1995-06-14,Primary184,Primary284,1,0,2021-05-25,9
85,Description85,2021-01-01,Primary185,Primary285,1,1,2021-05-25,20
86,Description86,1982-10-01,Primary186,Primary286,0,1,2021-05-25,17
87,Description87,2001-03-15,Primary187,Primary287,0,0,2021-05-25,2
88,Description88,1995-06-14,Primary188,Primary288,1,1,2021-05-25,4
89,Description89,2021-01-01,Primary189,Primary289,1,0,2021-05-25,12
90,Description90,1982-10-01,Primary190,Primary290,0,0,2021-05-25,10
91,Description91,2001-03-15,Primary191,Primary291,1,1,2021-05-25,19
92,Description92,1995-06-14,Primary192,Primary292,1,1,2021-05-25,8
93,Description93,2021-01-01,Primary193,Primary293,0,0,2021-05-25,18
94,Description94,1982-10-01,Primary194,Primary294,0,1,2021-05-25,16
95,Description95,2001-03-15,Primary195,Primary295,1,0,2021-05-25,0
96,Description96,1995-06-14,Primary196,Primary296,1,0,2021-05-25,19
97,Description97,2021-01-01,Primary197,Primary297,0,1,2021-05-25,7
98,Description98,1982-10-01,Primary198,Primary298,1,1,2021-05-25,6
99,Description99,2001-03-15,Primary199,Primary299,1,0,2021-05-25,11
100,Description100,1995-06-14,Primary1100,Primary2100,0,1,2021-05-25,9
101,Description101,2021-01-01,Primary1101,Primary2101,0,0,2021-05-25,16
102,Description102,1982-10-01,Primary1102,Primary2102,1,0,2021-05-25,6
103,Description103,2001-03-15,Primary1103,Primary2103,1,1,2021-05-25,19
104,Description104,1995-06-14,Primary1104,Primary2104,0,1,2021-05-25,14
105,Description105,2021-01-01,Primary1105,Primary2105,1,0,2021-05-25,16
106,Description106,1982-10-01,Primary1106,Primary2106,1,1,2021-05-25,6
107,Description107,2001-03-15,Primary1107,Primary2107,0,0,2021-05-25,14
108,Description108,1995-06-14,Primary1108,Primary2108,0,0,2021-05-25,14
109,Description109,2021-01-01,Primary1109,Primary2109,1,1,2021-05-25,20
110,Description110,1982-10-01,Primary1110,Primary2110,1,1,2021-05-25,13
111,Description111,2001-03-15,Primary1111,Primary2111,0,0,2021-05-25,5
112,Description112,1995-06-14,Primary1112,Primary2112,1,1,2021-05-25,19
113,Description113,2021-01-01,Primary1113,Primary2113,1,0,2021-05-25,4
114,Description114,1982-10-01,Primary1114,Primary2114,0,0,2021-05-25,2
115,Description115,2001-03-15,Primary1115,Primary2115,0,1,2021-05-25,8
116,Description116,1995-06-14,Primary1116,Primary2116,1,1,2021-05-25,1
117,Description117,2021-01-01,Primary1117,Primary2117,1,0,2021-05-25,0
118,Description118,1982-10-01,Primary1118,Primary2118,0,1,2021-05-25,18
119,Description119,2001-03-15,Primary1119,Primary2119,1,0,2021-05-25,8
120,Description120,1995-06-14,Primary1120,Primary2120,1,0,2021-05-25,17
